Function,Derivative
- 50 x^{2},- 100 x
\log{\left(- 10 x^{3} \right)} \cos{\left(9 x^{2} \right)},- 18 x \log{\left(- 10 x^{3} \right)} \sin{\left(9 x^{2} \right)} + \frac{3 \cos{\left(9 x^{2} \right)}}{x}
\frac{e^{- 9 x^{2}}}{\log{\left(4 x^{3} \right)}},- \frac{18 x e^{- 9 x^{2}}}{\log{\left(4 x^{3} \right)}} - \frac{3 e^{- 9 x^{2}}}{x \log{\left(4 x^{3} \right)}^{2}}
- x^{3} e^{- 4 x^{3}},12 x^{5} e^{- 4 x^{3}} - 3 x^{2} e^{- 4 x^{3}}
0,0
\frac{10 x^{2}}{\log{\left(- 5 x^{2} \right)}},\frac{20 x}{\log{\left(- 5 x^{2} \right)}} - \frac{20 x}{\log{\left(- 5 x^{2} \right)}^{2}}
\frac{1}{4 x^{3}},- \frac{3}{4 x^{4}}
- \frac{72 x^{5} e^{10 x^{3}}}{\log{\left(7 x^{2} \right)}},- \frac{2160 x^{7} e^{10 x^{3}}}{\log{\left(7 x^{2} \right)}} - \frac{360 x^{4} e^{10 x^{3}}}{\log{\left(7 x^{2} \right)}} + \frac{144 x^{4} e^{10 x^{3}}}{\log{\left(7 x^{2} \right)}^{2}}
- \frac{\cos{\left(6 x^{3} \right)}}{\sin{\left(x^{3} \right)}},\frac{18 x^{2} \sin{\left(6 x^{3} \right)}}{\sin{\left(x^{3} \right)}} + \frac{3 x^{2} \cos{\left(x^{3} \right)} \cos{\left(6 x^{3} \right)}}{\sin^{2}{\left(x^{3} \right)}}
\frac{\cos{\left(x^{2} \right)}}{9 x^{2} \cos{\left(7 x \right)}},- \frac{2 \sin{\left(x^{2} \right)}}{9 x \cos{\left(7 x \right)}} + \frac{7 \sin{\left(7 x \right)} \cos{\left(x^{2} \right)}}{9 x^{2} \cos^{2}{\left(7 x \right)}} - \frac{2 \cos{\left(x^{2} \right)}}{9 x^{3} \cos{\left(7 x \right)}}
- 20 x^{2} \sin{\left(5 x^{3} \right)} \cos{\left(8 x^{2} \right)},- 300 x^{4} \cos{\left(8 x^{2} \right)} \cos{\left(5 x^{3} \right)} + 320 x^{3} \sin{\left(8 x^{2} \right)} \sin{\left(5 x^{3} \right)} - 40 x \sin{\left(5 x^{3} \right)} \cos{\left(8 x^{2} \right)}
- 20 x^{5} e^{- 5 x^{2}} \sin{\left(10 x^{2} \right)},200 x^{6} e^{- 5 x^{2}} \sin{\left(10 x^{2} \right)} - 400 x^{6} e^{- 5 x^{2}} \cos{\left(10 x^{2} \right)} - 100 x^{4} e^{- 5 x^{2}} \sin{\left(10 x^{2} \right)}
\frac{2}{x \cos{\left(3 x \right)}},\frac{6 \sin{\left(3 x \right)}}{x \cos^{2}{\left(3 x \right)}} - \frac{2}{x^{2} \cos{\left(3 x \right)}}
- \frac{\log{\left(- 9 x \right)}}{4 x},\frac{\log{\left(- 9 x \right)}}{4 x^{2}} - \frac{1}{4 x^{2}}
-7,0
e^{- 2 x^{3}} \log{\left(- 7 x \right)},- 6 x^{2} e^{- 2 x^{3}} \log{\left(- 7 x \right)} + \frac{e^{- 2 x^{3}}}{x}
\frac{\cos{\left(2 x \right)}}{\sin{\left(3 x^{2} \right)}},- \frac{6 x \cos{\left(2 x \right)} \cos{\left(3 x^{2} \right)}}{\sin^{2}{\left(3 x^{2} \right)}} - \frac{2 \sin{\left(2 x \right)}}{\sin{\left(3 x^{2} \right)}}
\frac{\cos{\left(3 x \right)} \cos{\left(2 x^{2} \right)}}{\log{\left(- 9 x \right)}},- \frac{4 x \sin{\left(2 x^{2} \right)} \cos{\left(3 x \right)}}{\log{\left(- 9 x \right)}} - \frac{3 \sin{\left(3 x \right)} \cos{\left(2 x^{2} \right)}}{\log{\left(- 9 x \right)}} - \frac{\cos{\left(3 x \right)} \cos{\left(2 x^{2} \right)}}{x \log{\left(- 9 x \right)}^{2}}
\frac{\sin{\left(3 x \right)} \sin{\left(9 x \right)}}{\log{\left(- 8 x^{3} \right)}},\frac{9 \sin{\left(3 x \right)} \cos{\left(9 x \right)}}{\log{\left(- 8 x^{3} \right)}} + \frac{3 \sin{\left(9 x \right)} \cos{\left(3 x \right)}}{\log{\left(- 8 x^{3} \right)}} - \frac{3 \sin{\left(3 x \right)} \sin{\left(9 x \right)}}{x \log{\left(- 8 x^{3} \right)}^{2}}
- \frac{5}{7},0
\frac{10 x^{2}}{\cos{\left(8 x \right)}},\frac{80 x^{2} \sin{\left(8 x \right)}}{\cos^{2}{\left(8 x \right)}} + \frac{20 x}{\cos{\left(8 x \right)}}
e^{- 5 x^{3}} \sin{\left(9 x^{3} \right)},- 15 x^{2} e^{- 5 x^{3}} \sin{\left(9 x^{3} \right)} + 27 x^{2} e^{- 5 x^{3}} \cos{\left(9 x^{3} \right)}
0,0
- 2 x^{3} e^{- 7 x^{2}},28 x^{4} e^{- 7 x^{2}} - 6 x^{2} e^{- 7 x^{2}}
0,0
\frac{\sin{\left(4 x^{3} \right)}}{4 x^{3}},\frac{3 \cos{\left(4 x^{3} \right)}}{x} - \frac{3 \sin{\left(4 x^{3} \right)}}{4 x^{4}}
\frac{7 x^{2} e^{8 x}}{2},28 x^{2} e^{8 x} + 7 x e^{8 x}
\frac{10 x^{3} e^{- 3 x^{3}}}{\cos{\left(x \right)}},- \frac{90 x^{5} e^{- 3 x^{3}}}{\cos{\left(x \right)}} + \frac{10 x^{3} e^{- 3 x^{3}} \sin{\left(x \right)}}{\cos^{2}{\left(x \right)}} + \frac{30 x^{2} e^{- 3 x^{3}}}{\cos{\left(x \right)}}
\frac{3 e^{- 9 x^{3}}}{10 x},- \frac{81 x e^{- 9 x^{3}}}{10} - \frac{3 e^{- 9 x^{3}}}{10 x^{2}}
0,0
- \frac{6 \log{\left(6 x \right)}}{5 x},\frac{6 \log{\left(6 x \right)}}{5 x^{2}} - \frac{6}{5 x^{2}}
\frac{5}{4},0
e^{- 7 x} \log{\left(- 6 x^{3} \right)},- 7 e^{- 7 x} \log{\left(- 6 x^{3} \right)} + \frac{3 e^{- 7 x}}{x}
27 x^{4},108 x^{3}
30 x^{3},90 x^{2}
\frac{e^{x}}{3 x^{2} \cos{\left(6 x^{3} \right)}},\frac{6 e^{x} \sin{\left(6 x^{3} \right)}}{\cos^{2}{\left(6 x^{3} \right)}} + \frac{e^{x}}{3 x^{2} \cos{\left(6 x^{3} \right)}} - \frac{2 e^{x}}{3 x^{3} \cos{\left(6 x^{3} \right)}}
\frac{\log{\left(9 x^{3} \right)} \sin{\left(10 x \right)}}{\cos{\left(3 x \right)}},\frac{3 \log{\left(9 x^{3} \right)} \sin{\left(3 x \right)} \sin{\left(10 x \right)}}{\cos^{2}{\left(3 x \right)}} + \frac{10 \log{\left(9 x^{3} \right)} \cos{\left(10 x \right)}}{\cos{\left(3 x \right)}} + \frac{3 \sin{\left(10 x \right)}}{x \cos{\left(3 x \right)}}
\log{\left(3 x \right)} \log{\left(- 10 x^{3} \right)},\frac{3 \log{\left(3 x \right)}}{x} + \frac{\log{\left(- 10 x^{3} \right)}}{x}
24 x^{8},192 x^{7}
6 x^{3} \cos{\left(8 x \right)},- 48 x^{3} \sin{\left(8 x \right)} + 18 x^{2} \cos{\left(8 x \right)}
- \frac{\sin{\left(x \right)}}{18 x^{4}},- \frac{\cos{\left(x \right)}}{18 x^{4}} + \frac{2 \sin{\left(x \right)}}{9 x^{5}}
- \frac{5 e^{x}}{x^{2} \sin{\left(10 x \right)}},- \frac{5 e^{x}}{x^{2} \sin{\left(10 x \right)}} + \frac{50 e^{x} \cos{\left(10 x \right)}}{x^{2} \sin^{2}{\left(10 x \right)}} + \frac{10 e^{x}}{x^{3} \sin{\left(10 x \right)}}
- \sin{\left(9 x \right)} \sin{\left(x^{3} \right)},- 3 x^{2} \sin{\left(9 x \right)} \cos{\left(x^{3} \right)} - 9 \sin{\left(x^{3} \right)} \cos{\left(9 x \right)}
- \frac{x^{2} \log{\left(2 x^{3} \right)} \cos{\left(4 x \right)}}{\sin{\left(8 x^{2} \right)}},\frac{16 x^{3} \log{\left(2 x^{3} \right)} \cos{\left(4 x \right)} \cos{\left(8 x^{2} \right)}}{\sin^{2}{\left(8 x^{2} \right)}} + \frac{4 x^{2} \log{\left(2 x^{3} \right)} \sin{\left(4 x \right)}}{\sin{\left(8 x^{2} \right)}} - \frac{2 x \log{\left(2 x^{3} \right)} \cos{\left(4 x \right)}}{\sin{\left(8 x^{2} \right)}} - \frac{3 x \cos{\left(4 x \right)}}{\sin{\left(8 x^{2} \right)}}
54 x^{2} e^{8 x^{3}},1296 x^{4} e^{8 x^{3}} + 108 x e^{8 x^{3}}
\frac{\log{\left(- 8 x^{2} \right)} \sin{\left(6 x \right)}}{5 x^{3}},\frac{6 \log{\left(- 8 x^{2} \right)} \cos{\left(6 x \right)}}{5 x^{3}} - \frac{3 \log{\left(- 8 x^{2} \right)} \sin{\left(6 x \right)}}{5 x^{4}} + \frac{2 \sin{\left(6 x \right)}}{5 x^{4}}
\frac{5 x e^{x^{3}}}{3},5 x^{3} e^{x^{3}} + \frac{5 e^{x^{3}}}{3}
0,0
\frac{6 x^{2} \sin{\left(x^{3} \right)}}{\cos{\left(7 x^{2} \right)}},\frac{18 x^{4} \cos{\left(x^{3} \right)}}{\cos{\left(7 x^{2} \right)}} + \frac{84 x^{3} \sin{\left(7 x^{2} \right)} \sin{\left(x^{3} \right)}}{\cos^{2}{\left(7 x^{2} \right)}} + \frac{12 x \sin{\left(x^{3} \right)}}{\cos{\left(7 x^{2} \right)}}
e^{- 9 x^{3}} \log{\left(3 x \right)},- 27 x^{2} e^{- 9 x^{3}} \log{\left(3 x \right)} + \frac{e^{- 9 x^{3}}}{x}
27 x^{4},108 x^{3}
0,0
- \frac{7 x^{2}}{10},- \frac{7 x}{5}
- \frac{16 x e^{- x^{3}}}{3},16 x^{3} e^{- x^{3}} - \frac{16 e^{- x^{3}}}{3}
- \frac{5 x \sin{\left(3 x^{2} \right)}}{4},- \frac{15 x^{2} \cos{\left(3 x^{2} \right)}}{2} - \frac{5 \sin{\left(3 x^{2} \right)}}{4}
- \frac{\log{\left(- 9 x \right)} \log{\left(6 x^{2} \right)}}{20 x^{6}},\frac{3 \log{\left(- 9 x \right)} \log{\left(6 x^{2} \right)}}{10 x^{7}} - \frac{\log{\left(- 9 x \right)}}{10 x^{7}} - \frac{\log{\left(6 x^{2} \right)}}{20 x^{7}}
\log{\left(- 9 x^{3} \right)} \cos{\left(x^{2} \right)},- 2 x \log{\left(- 9 x^{3} \right)} \sin{\left(x^{2} \right)} + \frac{3 \cos{\left(x^{2} \right)}}{x}
7 x^{2},14 x
- \frac{3 x^{2} e^{- 3 x^{3}}}{\cos{\left(x^{3} \right)}},- \frac{9 x^{4} e^{- 3 x^{3}} \sin{\left(x^{3} \right)}}{\cos^{2}{\left(x^{3} \right)}} + \frac{27 x^{4} e^{- 3 x^{3}}}{\cos{\left(x^{3} \right)}} - \frac{6 x e^{- 3 x^{3}}}{\cos{\left(x^{3} \right)}}
- \frac{3 x e^{10 x^{2}}}{\log{\left(10 x^{2} \right)} \cos{\left(10 x^{2} \right)}},- \frac{60 x^{2} e^{10 x^{2}} \sin{\left(10 x^{2} \right)}}{\log{\left(10 x^{2} \right)} \cos^{2}{\left(10 x^{2} \right)}} - \frac{60 x^{2} e^{10 x^{2}}}{\log{\left(10 x^{2} \right)} \cos{\left(10 x^{2} \right)}} - \frac{3 e^{10 x^{2}}}{\log{\left(10 x^{2} \right)} \cos{\left(10 x^{2} \right)}} + \frac{6 e^{10 x^{2}}}{\log{\left(10 x^{2} \right)}^{2} \cos{\left(10 x^{2} \right)}}
0,0
6 x^{2} e^{3 x^{3}},54 x^{4} e^{3 x^{3}} + 12 x e^{3 x^{3}}
0,0
- \frac{5 e^{- 2 x^{2}} \log{\left(- 2 x \right)}}{2 x},10 e^{- 2 x^{2}} \log{\left(- 2 x \right)} + \frac{5 e^{- 2 x^{2}} \log{\left(- 2 x \right)}}{2 x^{2}} - \frac{5 e^{- 2 x^{2}}}{2 x^{2}}
\frac{e^{- 3 x^{3}}}{\cos{\left(6 x^{3} \right)}},\frac{18 x^{2} e^{- 3 x^{3}} \sin{\left(6 x^{3} \right)}}{\cos^{2}{\left(6 x^{3} \right)}} - \frac{9 x^{2} e^{- 3 x^{3}}}{\cos{\left(6 x^{3} \right)}}
x^{2} \log{\left(- 10 x^{3} \right)},2 x \log{\left(- 10 x^{3} \right)} + 3 x
- 2 x^{2},- 4 x
50 x^{4},200 x^{3}
\frac{\log{\left(7 x^{2} \right)}}{4 x^{2}},- \frac{\log{\left(7 x^{2} \right)}}{2 x^{3}} + \frac{1}{2 x^{3}}
\frac{\sin{\left(x^{3} \right)}}{3 x^{3} \log{\left(3 x^{2} \right)} \cos{\left(5 x^{2} \right)}},\frac{\cos{\left(x^{3} \right)}}{x \log{\left(3 x^{2} \right)} \cos{\left(5 x^{2} \right)}} + \frac{10 \sin{\left(5 x^{2} \right)} \sin{\left(x^{3} \right)}}{3 x^{2} \log{\left(3 x^{2} \right)} \cos^{2}{\left(5 x^{2} \right)}} - \frac{\sin{\left(x^{3} \right)}}{x^{4} \log{\left(3 x^{2} \right)} \cos{\left(5 x^{2} \right)}} - \frac{2 \sin{\left(x^{3} \right)}}{3 x^{4} \log{\left(3 x^{2} \right)}^{2} \cos{\left(5 x^{2} \right)}}
- \log{\left(- 7 x^{2} \right)} \sin{\left(9 x^{2} \right)},- 18 x \log{\left(- 7 x^{2} \right)} \cos{\left(9 x^{2} \right)} - \frac{2 \sin{\left(9 x^{2} \right)}}{x}
\frac{e^{- 9 x}}{x^{2} \sin{\left(8 x^{3} \right)}},- \frac{24 e^{- 9 x} \cos{\left(8 x^{3} \right)}}{\sin^{2}{\left(8 x^{3} \right)}} - \frac{9 e^{- 9 x}}{x^{2} \sin{\left(8 x^{3} \right)}} - \frac{2 e^{- 9 x}}{x^{3} \sin{\left(8 x^{3} \right)}}
270 x^{5} \cos{\left(8 x^{3} \right)},- 6480 x^{7} \sin{\left(8 x^{3} \right)} + 1350 x^{4} \cos{\left(8 x^{3} \right)}
- \frac{\sin{\left(2 x \right)}}{\cos{\left(10 x \right)}},- \frac{10 \sin{\left(2 x \right)} \sin{\left(10 x \right)}}{\cos^{2}{\left(10 x \right)}} - \frac{2 \cos{\left(2 x \right)}}{\cos{\left(10 x \right)}}
- e^{- 2 x^{2}} \sin{\left(x^{2} \right)} \sin{\left(5 x^{3} \right)} \cos{\left(7 x^{2} \right)},- 15 x^{2} e^{- 2 x^{2}} \sin{\left(x^{2} \right)} \cos{\left(7 x^{2} \right)} \cos{\left(5 x^{3} \right)} + 14 x e^{- 2 x^{2}} \sin{\left(x^{2} \right)} \sin{\left(7 x^{2} \right)} \sin{\left(5 x^{3} \right)} + 4 x e^{- 2 x^{2}} \sin{\left(x^{2} \right)} \sin{\left(5 x^{3} \right)} \cos{\left(7 x^{2} \right)} - 2 x e^{- 2 x^{2}} \sin{\left(5 x^{3} \right)} \cos{\left(x^{2} \right)} \cos{\left(7 x^{2} \right)}
- \frac{9 x^{3}}{\cos{\left(6 x^{2} \right)}},- \frac{108 x^{4} \sin{\left(6 x^{2} \right)}}{\cos^{2}{\left(6 x^{2} \right)}} - \frac{27 x^{2}}{\cos{\left(6 x^{2} \right)}}
8 x^{2} \log{\left(- 4 x^{3} \right)},16 x \log{\left(- 4 x^{3} \right)} + 24 x
\frac{9}{10 x^{2}},- \frac{9}{5 x^{3}}
\frac{\log{\left(2 x^{2} \right)} \sin{\left(5 x^{3} \right)}}{\sin{\left(3 x^{2} \right)}},\frac{15 x^{2} \log{\left(2 x^{2} \right)} \cos{\left(5 x^{3} \right)}}{\sin{\left(3 x^{2} \right)}} - \frac{6 x \log{\left(2 x^{2} \right)} \sin{\left(5 x^{3} \right)} \cos{\left(3 x^{2} \right)}}{\sin^{2}{\left(3 x^{2} \right)}} + \frac{2 \sin{\left(5 x^{3} \right)}}{x \sin{\left(3 x^{2} \right)}}
- \frac{6 x}{7 \sin{\left(5 x^{2} \right)} \sin{\left(x^{3} \right)}},\frac{18 x^{3} \cos{\left(x^{3} \right)}}{7 \sin{\left(5 x^{2} \right)} \sin^{2}{\left(x^{3} \right)}} + \frac{60 x^{2} \cos{\left(5 x^{2} \right)}}{7 \sin^{2}{\left(5 x^{2} \right)} \sin{\left(x^{3} \right)}} - \frac{6}{7 \sin{\left(5 x^{2} \right)} \sin{\left(x^{3} \right)}}
- 6 x^{3} \cos{\left(3 x^{3} \right)},54 x^{5} \sin{\left(3 x^{3} \right)} - 18 x^{2} \cos{\left(3 x^{3} \right)}
\frac{e^{- x^{2}} \cos{\left(3 x \right)}}{\log{\left(- 9 x^{2} \right)} \sin{\left(6 x \right)}},- \frac{2 x e^{- x^{2}} \cos{\left(3 x \right)}}{\log{\left(- 9 x^{2} \right)} \sin{\left(6 x \right)}} - \frac{3 e^{- x^{2}} \sin{\left(3 x \right)}}{\log{\left(- 9 x^{2} \right)} \sin{\left(6 x \right)}} - \frac{6 e^{- x^{2}} \cos{\left(3 x \right)} \cos{\left(6 x \right)}}{\log{\left(- 9 x^{2} \right)} \sin^{2}{\left(6 x \right)}} - \frac{2 e^{- x^{2}} \cos{\left(3 x \right)}}{x \log{\left(- 9 x^{2} \right)}^{2} \sin{\left(6 x \right)}}
- \frac{\log{\left(- 8 x^{2} \right)}}{\sin{\left(5 x^{3} \right)}},\frac{15 x^{2} \log{\left(- 8 x^{2} \right)} \cos{\left(5 x^{3} \right)}}{\sin^{2}{\left(5 x^{3} \right)}} - \frac{2}{x \sin{\left(5 x^{3} \right)}}
8 x^{3} e^{- 6 x^{3}} \sin{\left(2 x^{2} \right)},- 144 x^{5} e^{- 6 x^{3}} \sin{\left(2 x^{2} \right)} + 32 x^{4} e^{- 6 x^{3}} \cos{\left(2 x^{2} \right)} + 24 x^{2} e^{- 6 x^{3}} \sin{\left(2 x^{2} \right)}
10 x \sin{\left(3 x \right)} \cos{\left(3 x^{2} \right)},- 60 x^{2} \sin{\left(3 x \right)} \sin{\left(3 x^{2} \right)} + 30 x \cos{\left(3 x \right)} \cos{\left(3 x^{2} \right)} + 10 \sin{\left(3 x \right)} \cos{\left(3 x^{2} \right)}
\frac{56 x^{4}}{\sin{\left(8 x^{3} \right)}},- \frac{1344 x^{6} \cos{\left(8 x^{3} \right)}}{\sin^{2}{\left(8 x^{3} \right)}} + \frac{224 x^{3}}{\sin{\left(8 x^{3} \right)}}
- \frac{e^{- x} \log{\left(- 6 x^{2} \right)}}{4 x},\frac{e^{- x} \log{\left(- 6 x^{2} \right)}}{4 x} + \frac{e^{- x} \log{\left(- 6 x^{2} \right)}}{4 x^{2}} - \frac{e^{- x}}{2 x^{2}}
e^{- 6 x^{2}} \sin{\left(2 x^{3} \right)},6 x^{2} e^{- 6 x^{2}} \cos{\left(2 x^{3} \right)} - 12 x e^{- 6 x^{2}} \sin{\left(2 x^{3} \right)}
- \frac{e^{- 5 x^{2}}}{9 x^{5}},\frac{10 e^{- 5 x^{2}}}{9 x^{4}} + \frac{5 e^{- 5 x^{2}}}{9 x^{6}}
- e^{8 x^{2}} \log{\left(5 x \right)} \sin{\left(6 x \right)} \sin{\left(10 x \right)},- 16 x e^{8 x^{2}} \log{\left(5 x \right)} \sin{\left(6 x \right)} \sin{\left(10 x \right)} - 10 e^{8 x^{2}} \log{\left(5 x \right)} \sin{\left(6 x \right)} \cos{\left(10 x \right)} - 6 e^{8 x^{2}} \log{\left(5 x \right)} \sin{\left(10 x \right)} \cos{\left(6 x \right)} - \frac{e^{8 x^{2}} \sin{\left(6 x \right)} \sin{\left(10 x \right)}}{x}
12 x^{4} \log{\left(- 6 x^{3} \right)} \log{\left(3 x^{3} \right)},48 x^{3} \log{\left(- 6 x^{3} \right)} \log{\left(3 x^{3} \right)} + 36 x^{3} \log{\left(- 6 x^{3} \right)} + 36 x^{3} \log{\left(3 x^{3} \right)}
- \frac{e^{9 x^{3}} \sin{\left(10 x \right)}}{9 x^{3}},- \frac{3 e^{9 x^{3}} \sin{\left(10 x \right)}}{x} - \frac{10 e^{9 x^{3}} \cos{\left(10 x \right)}}{9 x^{3}} + \frac{e^{9 x^{3}} \sin{\left(10 x \right)}}{3 x^{4}}
- \frac{7 x^{2} e^{- 9 x^{2}} \log{\left(- 2 x^{3} \right)}}{\sin{\left(9 x^{2} \right)}},\frac{126 x^{3} e^{- 9 x^{2}} \log{\left(- 2 x^{3} \right)}}{\sin{\left(9 x^{2} \right)}} + \frac{126 x^{3} e^{- 9 x^{2}} \log{\left(- 2 x^{3} \right)} \cos{\left(9 x^{2} \right)}}{\sin^{2}{\left(9 x^{2} \right)}} - \frac{14 x e^{- 9 x^{2}} \log{\left(- 2 x^{3} \right)}}{\sin{\left(9 x^{2} \right)}} - \frac{21 x e^{- 9 x^{2}}}{\sin{\left(9 x^{2} \right)}}
- \sin{\left(2 x^{3} \right)} \cos{\left(3 x^{2} \right)},- 6 x^{2} \cos{\left(3 x^{2} \right)} \cos{\left(2 x^{3} \right)} + 6 x \sin{\left(3 x^{2} \right)} \sin{\left(2 x^{3} \right)}
\frac{\log{\left(9 x \right)}}{\log{\left(- 4 x^{2} \right)}},- \frac{2 \log{\left(9 x \right)}}{x \log{\left(- 4 x^{2} \right)}^{2}} + \frac{1}{x \log{\left(- 4 x^{2} \right)}}
70 x^{4} e^{10 x^{3}},2100 x^{6} e^{10 x^{3}} + 280 x^{3} e^{10 x^{3}}
- \frac{2 x}{\log{\left(x^{3} \right)}},- \frac{2}{\log{\left(x^{3} \right)}} + \frac{6}{\log{\left(x^{3} \right)}^{2}}
300 x^{7} e^{- 10 x},- 3000 x^{7} e^{- 10 x} + 2100 x^{6} e^{- 10 x}
216 x^{5},1080 x^{4}
32 x^{3},96 x^{2}
- \frac{\sin{\left(2 x^{2} \right)}}{7 x^{2}},- \frac{4 \cos{\left(2 x^{2} \right)}}{7 x} + \frac{2 \sin{\left(2 x^{2} \right)}}{7 x^{3}}
8 x^{3} e^{4 x^{3}},96 x^{5} e^{4 x^{3}} + 24 x^{2} e^{4 x^{3}}
\frac{\sin{\left(10 x^{2} \right)} \cos{\left(8 x \right)}}{\log{\left(- x^{3} \right)}},\frac{20 x \cos{\left(8 x \right)} \cos{\left(10 x^{2} \right)}}{\log{\left(- x^{3} \right)}} - \frac{8 \sin{\left(8 x \right)} \sin{\left(10 x^{2} \right)}}{\log{\left(- x^{3} \right)}} - \frac{3 \sin{\left(10 x^{2} \right)} \cos{\left(8 x \right)}}{x \log{\left(- x^{3} \right)}^{2}}
\frac{e^{2 x^{3}} \log{\left(- 6 x^{3} \right)}}{3 x},2 x e^{2 x^{3}} \log{\left(- 6 x^{3} \right)} - \frac{e^{2 x^{3}} \log{\left(- 6 x^{3} \right)}}{3 x^{2}} + \frac{e^{2 x^{3}}}{x^{2}}
- \frac{2}{9},0
\frac{14 x^{3}}{\sin{\left(8 x \right)} \sin{\left(5 x^{3} \right)}},- \frac{210 x^{5} \cos{\left(5 x^{3} \right)}}{\sin{\left(8 x \right)} \sin^{2}{\left(5 x^{3} \right)}} - \frac{112 x^{3} \cos{\left(8 x \right)}}{\sin^{2}{\left(8 x \right)} \sin{\left(5 x^{3} \right)}} + \frac{42 x^{2}}{\sin{\left(8 x \right)} \sin{\left(5 x^{3} \right)}}
e^{9 x^{3}} \sin{\left(7 x \right)},27 x^{2} e^{9 x^{3}} \sin{\left(7 x \right)} + 7 e^{9 x^{3}} \cos{\left(7 x \right)}
- x,-1
1,0
0,0
\frac{e^{- 5 x^{3}} \cos{\left(9 x^{3} \right)}}{10 x^{3}},- \frac{27 e^{- 5 x^{3}} \sin{\left(9 x^{3} \right)}}{10 x} - \frac{3 e^{- 5 x^{3}} \cos{\left(9 x^{3} \right)}}{2 x} - \frac{3 e^{- 5 x^{3}} \cos{\left(9 x^{3} \right)}}{10 x^{4}}
- 7 x \log{\left(8 x \right)},- 7 \log{\left(8 x \right)} - 7
- \frac{40}{3 x},\frac{40}{3 x^{2}}
- 8 x \cos{\left(6 x^{2} \right)},96 x^{2} \sin{\left(6 x^{2} \right)} - 8 \cos{\left(6 x^{2} \right)}
- \frac{1}{2 x^{2}},\frac{1}{x^{3}}
0,0
- \frac{e^{9 x^{2}} \sin{\left(9 x \right)} \cos{\left(5 x \right)}}{5 x^{3}},- \frac{18 e^{9 x^{2}} \sin{\left(9 x \right)} \cos{\left(5 x \right)}}{5 x^{2}} + \frac{e^{9 x^{2}} \sin{\left(5 x \right)} \sin{\left(9 x \right)}}{x^{3}} - \frac{9 e^{9 x^{2}} \cos{\left(5 x \right)} \cos{\left(9 x \right)}}{5 x^{3}} + \frac{3 e^{9 x^{2}} \sin{\left(9 x \right)} \cos{\left(5 x \right)}}{5 x^{4}}
- 3 x^{2} \cos{\left(5 x^{3} \right)},45 x^{4} \sin{\left(5 x^{3} \right)} - 6 x \cos{\left(5 x^{3} \right)}
0,0
e^{4 x} e^{- 3 x^{3}},- 9 x^{2} e^{4 x} e^{- 3 x^{3}} + 4 e^{4 x} e^{- 3 x^{3}}
- \frac{1}{3 \cos{\left(6 x^{2} \right)} \cos{\left(9 x^{2} \right)}},- \frac{4 x \sin{\left(6 x^{2} \right)}}{\cos^{2}{\left(6 x^{2} \right)} \cos{\left(9 x^{2} \right)}} - \frac{6 x \sin{\left(9 x^{2} \right)}}{\cos{\left(6 x^{2} \right)} \cos^{2}{\left(9 x^{2} \right)}}
\frac{\log{\left(- 5 x^{3} \right)} \cos{\left(x^{3} \right)}}{\sin{\left(3 x^{2} \right)}},- \frac{3 x^{2} \log{\left(- 5 x^{3} \right)} \sin{\left(x^{3} \right)}}{\sin{\left(3 x^{2} \right)}} - \frac{6 x \log{\left(- 5 x^{3} \right)} \cos{\left(3 x^{2} \right)} \cos{\left(x^{3} \right)}}{\sin^{2}{\left(3 x^{2} \right)}} + \frac{3 \cos{\left(x^{3} \right)}}{x \sin{\left(3 x^{2} \right)}}
- 3 x^{2},- 6 x
- \frac{7}{8},0
- \frac{1}{2},0
0,0
- \frac{\log{\left(10 x \right)}}{\sin{\left(x \right)} \sin{\left(7 x \right)}},\frac{7 \log{\left(10 x \right)} \cos{\left(7 x \right)}}{\sin{\left(x \right)} \sin^{2}{\left(7 x \right)}} + \frac{\log{\left(10 x \right)} \cos{\left(x \right)}}{\sin^{2}{\left(x \right)} \sin{\left(7 x \right)}} - \frac{1}{x \sin{\left(x \right)} \sin{\left(7 x \right)}}
\frac{3 x^{3}}{2},\frac{9 x^{2}}{2}
- \frac{2 e^{- 3 x^{3}} \log{\left(4 x^{2} \right)}}{x^{2}},18 e^{- 3 x^{3}} \log{\left(4 x^{2} \right)} + \frac{4 e^{- 3 x^{3}} \log{\left(4 x^{2} \right)}}{x^{3}} - \frac{4 e^{- 3 x^{3}}}{x^{3}}
- e^{2 x^{2}} \sin{\left(3 x^{2} \right)},- 4 x e^{2 x^{2}} \sin{\left(3 x^{2} \right)} - 6 x e^{2 x^{2}} \cos{\left(3 x^{2} \right)}
0,0
- x^{2},- 2 x
\frac{64 x^{3} \log{\left(- 2 x^{2} \right)}}{\cos{\left(4 x^{3} \right)}},\frac{768 x^{5} \log{\left(- 2 x^{2} \right)} \sin{\left(4 x^{3} \right)}}{\cos^{2}{\left(4 x^{3} \right)}} + \frac{192 x^{2} \log{\left(- 2 x^{2} \right)}}{\cos{\left(4 x^{3} \right)}} + \frac{128 x^{2}}{\cos{\left(4 x^{3} \right)}}
